Title;Company;Location;Salary;Type;Category
Junior Data Labeler;Deloitte;"Rosslyn, VA 22209
(Radnor-Ft Myer Heights area)";;Full-time;data scientist
Junior Data Labeler;Amazon.com Services LLC;"California
+126 locations";;Full-time;data scientist
Junior Data Labeler;Zoom Video Communications, Inc.;"Remote in Denver, CO
+1 location";;Full-time;data scientist
Junior Data Labeler;University of California San Francisco;"Remote in San Francisco, CA 94143
+4 locations";;Full-time;data scientist
Junior Data Labeler;BDSA;Remote in Louisville, CO;;;data scientist
Junior Data Labeler;Starbucks;"Remote in Seattle, WA
+2 locations";;Full-time;data scientist
Junior Data Labeler;Navy Federal Credit Union;"Vienna, VA 22180
+2 locations";;"Full-time
+1";data scientist
Junior Data Labeler;Adobe;"San Francisco, CA
+6 locations";;Full-time;data scientist
Junior Data Labeler;Digital Trike;South Jordan, UT 84095;Estimated $74.9K - $94.9K a year;;data scientist
Junior Data Labeler;MARS;"Remote in Franklin, TN 37064
+6 locations";;Full-time;data scientist
Junior Data Labeler;Stitch Fix;"Remote in San Francisco, CA
+7 locations";Estimated $121K - $154K a year;;data scientist
Junior Data Labeler;Apple;"Cupertino, CA
+60 locations";;;data scientist
Junior Data Labeler;Nike;"New York, NY
+2 locations";;Full-time;data scientist
Junior Data Labeler;PGA Tour;Ponte Vedra Beach, FL;Estimated $82.7K - $105K a year;Full-time;data scientist
Junior Data Labeler;Microsoft;"Remote in Redmond, WA 98052
+18 locations";;Full-time;data scientist
Research Scientist-Center for Data Science;New York University;"New York, NY 10012
(Greenwich Village area)
+3 locations";;;data scientist
Research Scientist-Center for Data Science;CrowdStrike;Remote;;Full-time;data scientist
Research Scientist-Center for Data Science;Williams Sonoma;"San Francisco, CA 94108
(Financial District/South Beach area)";;Full-time;data scientist
Research Scientist-Center for Data Science;Government of the District of Columbia;"Washington, DC 20024
(Southwest Waterfront area)
+1 location";;Full-time;data scientist
Research Scientist-Center for Data Science;US Bureau of Labor Statistics;Remote in Albuquerque, NM;;Full-time;data scientist
Research Scientist-Center for Data Science;JPMorgan Chase Bank, N.A.;"New York, NY
+44 locations";;Full-time;data scientist
Research Scientist-Center for Data Science;Bayer;"Remote in United States
+11 locations";;;data scientist
Research Scientist-Center for Data Science;The Coca-Cola Company;"Plano, TX 75024
+1 location";;Full-time;data scientist
Research Scientist-Center for Data Science;US Health Resources and Services Administration;Remote;;Full-time;data scientist
Research Scientist-Center for Data Science;McAfee;Remote in San Jose, CA 95002;;Full-time;data scientist
