Title;Company;Location;Salary;Type;Category
Junior Data Labeler;Deloitte;"Rosslyn, VA 22209
(Radnor-Ft Myer Heights area)";;Full-time;data science
Junior Data Labeler;Mayo Clinic;"Rochester, MN
+7 locations";;Full-time;data science
Junior Data Labeler;Electric Power Research Institute;"Charlotte, NC
+2 locations";Estimated $65.2K - $82.6K a year;Part-time;data science
Junior Data Labeler;pulseData;Remote in New York, NY;Estimated $86.6K - $110K a year;Full-time;data science
Junior Data Labeler;Radian;"Remote in Maryland
+1 location";;Full-time;data science
Junior Data Labeler;Paliwoda Group;New York, NY;Estimated $74.7K - $94.5K a year;;data science
Junior Data Labeler;Digital Trike;South Jordan, UT 84095;Estimated $74.9K - $94.9K a year;;data science
Junior Data Labeler;Ars Quanta;Seattle, WA;Estimated $96.1K - $122K a year;;data science
Junior Data Labeler;pulseData;Remote in New York, NY;;Full-time;data science
Junior Data Labeler;MARS;"Remote in Franklin, TN 37064
+6 locations";;Full-time;data science
Junior Data Labeler;McAfee;Remote in San Jose, CA 95002;;Full-time;data science
Junior Data Labeler;Yelp;Remote;;;data science
Junior Data Labeler;Microsoft;"Remote in Redmond, WA 98052
+18 locations";;Full-time;data science
Junior Data Labeler;Hulu;Santa Monica, CA;;Full-time;data science
Junior Data Labeler;University of Pennsylvania;"Philadelphia, PA 19104
(University City area)";;Full-time;data science
BrightDrop - Head of Data Science and Engineering;Housing Works;Remote in New York, NY 10018;;;data science
;;;;;data science
BrightDrop - Head of Data Science and Engineering;Allstate;"Remote in Northbrook, IL
+5 locations";;;data science
BrightDrop - Head of Data Science and Engineering;Disney Streaming;"San Francisco, CA
+6 locations";;Full-time;data science
BrightDrop - Head of Data Science and Engineering;Sony Music Entertainment US;New York, NY;Estimated $149K - $189K a year;;data science
BrightDrop - Head of Data Science and Engineering;University of Michigan;Remote in Ann Arbor, MI 48109;;Full-time;data science
BrightDrop - Head of Data Science and Engineering;Piper Companies;"+3 locations
Remote";;Contract;data science
BrightDrop - Head of Data Science and Engineering;Amazon.com Services LLC;"Boulder, CO
+13 locations";;"Full-time
+1";data science
BrightDrop - Head of Data Science and Engineering;Symetra;Remote in Bellevue, WA 98004;;Full-time;data science
BrightDrop - Head of Data Science and Engineering;Keewi;Santa Clara, CA;Estimated $108K - $137K a year;;data science
BrightDrop - Head of Data Science and Engineering;BDSA;Remote in Louisville, CO;;;data science
BrightDrop - Head of Data Science and Engineering;JPMorgan Chase Bank, N.A.;Columbus, OH;;Full-time;data science
BrightDrop - Head of Data Science and Engineering;PGA Tour;Ponte Vedra Beach, FL;Estimated $82.7K - $105K a year;Full-time;data science
BrightDrop - Head of Data Science and Engineering;Amazon.com Services LLC;"Seattle, WA
+126 locations";;Full-time;data science
