Title;Company;Location;Salary;Type;Category
NGS Data Quality Engineer;National Football League;Remote in Inglewood, CA 90301;Estimated $78.8K - $99.8K a year;Part-time;data engineer
NGS Data Quality Engineer;Booz Allen Hamilton;"Remote in Austin, TX
+40 locations";;;data engineer
NGS Data Quality Engineer;Paramount+;"Remote in Fort Lauderdale, FL 33309
+6 locations";;Full-time;data engineer
NGS Data Quality Engineer;BDSA;Remote in Louisville, CO;;;data engineer
NGS Data Quality Engineer;IBM;Lansing, MI 48901;;Full-time;data engineer
NGS Data Quality Engineer;Toyota;"Remote in Ann Arbor, MI 48103
+4 locations";;;data engineer
NGS Data Quality Engineer;LT Technology Services;Tennessee;;;data engineer
NGS Data Quality Engineer;Apple;"Cupertino, CA
+43 locations";;;data engineer
NGS Data Quality Engineer;ApolloMed;"+1 location
Remote";Estimated $85.5K - $108K a year;Full-time;data engineer
NGS Data Quality Engineer;Hy-Vee, Inc.;"Remote in West Des Moines, IA
+1 location";;Full-time;data engineer
NGS Data Quality Engineer;Tyler Technologies;"+1 location
Remote";Estimated $74.7K - $94.5K a year;;data engineer
NGS Data Quality Engineer;BeneFit Cosmetics;"San Francisco, CA 94104
(Financial District/South Beach area)";;;data engineer
NGS Data Quality Engineer;BOEING;Everett, WA;;;data engineer
NGS Data Quality Engineer;Microsoft;"Bellevue, WA
+4 locations";;Full-time;data engineer
NGS Data Quality Engineer;SageSure;"+1 location
Remote";Estimated $77.3K - $97.9K a year;Full-time;data engineer
Data Engineer;Nintendo of America Inc.;"Redmond, WA
+1 location";;;data engineer
Data Engineer;BeneFit Cosmetics;"San Francisco, CA 94104
(Financial District/South Beach area)";;;data engineer
Data Engineer;Grammarly, Inc.;Remote;Estimated $109K - $138K a year;;data engineer
Data Engineer;Hy-Vee, Inc.;"Remote in West Des Moines, IA
+1 location";;Full-time;data engineer
Data Engineer;Costco Wholesale;"Seattle, WA 98134
(Industrial District area)
+1 location";;;data engineer
Data Engineer;Apple;"Austin, TX
+4 locations";;;data engineer
Data Engineer;Accenture;"Seattle, WA 98101
(Downtown area)
+101 locations";;Full-time;data engineer
Data Engineer;Uplight;Remote;;Full-time;data engineer
Data Engineer;Dutch Bros;Remote;;Full-time;data engineer
Data Engineer;SpaceX;"Redmond, WA 98052
(SE Redmond area)
+3 locations";;;data engineer
Data Engineer;The New York Times;New York, NY;;Full-time;data engineer
Data Engineer;Noodle;Remote in New York, NY 10003;Estimated $119K - $151K a year;Contract;data engineer
Data Engineer;Brave;Remote in San Francisco, CA;Estimated $105K - $133K a year;;data engineer
Data Engineer;Cato Institute;Remote;Estimated $64.2K - $81.4K a year;Full-time;data engineer
Data Engineer;Penn State University;University Park, FL;;Full-time;data engineer
Data Engineer;Uplight;Remote;;Full-time;data engineer
Data Engineer;Noodle;Remote in New York, NY 10003;Estimated $119K - $151K a year;Contract;data engineer
Data Engineer;Honda Dev. and Mfg of Am.,LLC;Ohio;Estimated $79.3K - $100K a year;;data engineer
Data Engineer;Dassault Systèmes;"New York, NY
+2 locations";;;data engineer
Data Engineer;Fisker Inc;Manhattan Beach, CA 90266;Estimated $129K - $163K a year;Full-time;data engineer
Data Engineer;Farmers Insurance Group;Remote;;;data engineer
Data Engineer;Nike;"Remote in Atlanta, GA
+8 locations";;Full-time;data engineer
Data Engineer;Tesla;"Austin, TX
+11 locations";;Full-time;data engineer
Data Engineer;Gametime United, Inc.;Remote;Estimated $84.8K - $107K a year;Full-time;data engineer
Data Engineer;Brave;Remote in San Francisco, CA;Estimated $105K - $133K a year;;data engineer
Data Engineer;Brave Software Inc.;Remote;Estimated $88.4K - $112K a year;;data engineer
Data Engineer;Iron Mountain;Remote in Olympia, WA 98507;;;data engineer
Data Engineer;Maximo Global Tech;Remote;Estimated $97.5K - $123K a year;Full-time;data engineer
Data Engineer;Optum;Remote in Las Vegas, NV 89102;;Full-time;data engineer
Data Engineer;Cummins Inc.;"Indianapolis, IN
+1 location";;;data engineer
Analytics Data Engineer;W. L. Gore & Associates;Remote in Flagstaff, AZ 86004;Estimated $87.8K - $111K a year;Full-time;data engineer
Analytics Data Engineer;Iron Mountain;Remote in Olympia, WA 98507;;;data engineer
Analytics Data Engineer;Northwestern Mutual;"Milwaukee, WI
+1 location";;;data engineer
Analytics Data Engineer;Gap Inc.;"San Francisco, CA 94105
(Financial District/South Beach area)";;Full-time;data engineer
Analytics Data Engineer;Farmers Insurance Group;Remote;;;data engineer
Analytics Data Engineer;Pearson;"Raleigh, NC 27608
(Five Points area)";;;data engineer
Analytics Data Engineer;Ford Motor Company;"Remote in Dearborn, MI
+4 locations";;;data engineer
Analytics Data Engineer;Tulane University;New Orleans, LA;Estimated $88.7K - $112K a year;;data engineer
Analytics Data Engineer;Advocate Aurora Health;Downers Grove, IL 60515;;Full-time;data engineer
Analytics Data Engineer;Amgen;"Remote in Thousand Oaks, CA 91360
+11 locations";;Full-time;data engineer
Analytics Data Engineer;Spotify;"Remote in Berlin, OR
+14 locations";Estimated $99K - $125K a year;;data engineer
Analytics Data Engineer;AstraZeneca;"Gaithersburg, MD 20878
+1 location";;Full-time;data engineer
Analytics Data Engineer;MD Anderson Cancer Center;"Remote in Houston, TX 77030
+2 locations";;Full-time;data engineer
Analytics Data Engineer;MedPro Group;Remote;;;data engineer
Analytics Data Engineer;Spiceworks;"+12 locations
Remote";Estimated $101K - $128K a year;Full-time;data engineer
REMOTE Data Engineer, Analytics;Paramount Pictures;Remote in Los Angeles, CA 90038;;Full-time;data engineer
REMOTE Data Engineer, Analytics;Cincinnati Children's Hospital;"Cincinnati, OH 45219
(CUF area)
+1 location";;;data engineer
REMOTE Data Engineer, Analytics;Merck;"Rahway, NJ
+1 location";;Full-time;data engineer
REMOTE Data Engineer, Analytics;Insurity;Remote;;;data engineer
REMOTE Data Engineer, Analytics;JPMorgan Chase Bank, N.A.;"Jersey City, NJ
+25 locations";;Full-time;data engineer
REMOTE Data Engineer, Analytics;Spiceworks;"+12 locations
Remote";Estimated $101K - $128K a year;Full-time;data engineer
REMOTE Data Engineer, Analytics;Pinterest;"Remote in San Francisco, CA 94103
+1 location";;;data engineer
REMOTE Data Engineer, Analytics;MedPro Group;Remote;;;data engineer
REMOTE Data Engineer, Analytics;Community Tech Alliance;Remote;;Full-time;data engineer
REMOTE Data Engineer, Analytics;Penn State University;University Park, FL;;Full-time;data engineer
