Title;Company;Location;Salary;Type;Category
Software Development (All Levels);Instec Corp;Remote;Estimated $102K - $129K a year;;development
Software Development (All Levels);Iowa 80 Truckstop;"Walcott, IA 52773
+2 locations";;Full-time;development
Software Development (All Levels);Pinterest;Remote;;;development
Software Development (All Levels);City of Cape Coral, FL;City of Cape Coral, FL;;Full-time;development
Software Development (All Levels);Mayo Clinic;Remote in Rochester, MN;;Full-time;development
Software Development (All Levels);Insurity;Remote;;;development
Software Development (All Levels);City of Cape Coral, FL;City of Cape Coral, FL;;Full-time;development
Software Development (All Levels);Amplify Education, Inc.;Remote;;Full-time;development
Software Development (All Levels);ZeniMax Media Inc.;"Dallas, TX 75251
(North Dallas area)
+1 location";Estimated $64.1K - $81.1K a year;Full-time;development
Software Development (All Levels);Bethesda Game Studios;Dallas, TX;Estimated $68.1K - $86.3K a year;;development
Software Development (All Levels);PartsSource;Remote;Estimated $66.2K - $83.8K a year;Full-time;development
Software Development (All Levels);Avesis, Incorporated;Remote;;Full-time;development
Software Development (All Levels);United Nations Development Programme (UNDP);"+1 location
Remote";Estimated $117K - $148K a year;Contract;development
Software Development (All Levels);Sitel;"Remote in Hephzibah, GA
+45 locations";;Full-time;development
Software Development (All Levels);OneTouch Direct;Tampa, FL 33634;;Full-time;development
Web Development Contractor;VOLTAGE;Salt Lake City, UT;;"Full-time
+2";development
Web Development Contractor;Tesla;"Austin, TX
+1 location";;Full-time;development
Web Development Contractor;Discord;Remote in San Francisco, CA 94107;;;development
Web Development Contractor;ServiceTitan;Remote;Estimated $96.6K - $122K a year;Full-time;development
Web Development Contractor;Duke Energy;Saint Petersburg, FL;;Full-time;development
Web Development Contractor;General Motors;Remote;;;development
Web Development Contractor;US Agriculture, Rural Development;Remote;;Full-time;development
Web Development Contractor;Louisiana State University;"Remote in Baton Rouge, LA 70808
+1 location";;Part-time;development
Web Development Contractor;FRANCESCA'S;Remote;;Full-time;development
Web Development Contractor;Teleperformance;"El Paso, TX 79936
(East Side area)
+2 locations";;Full-time;development
Web Development Contractor;Clarity Consultants;Remote in Campbell, CA 95008;Estimated $62K - $78.6K a year;;development
Web Development Contractor;Universal Orlando;Hollywood, CA;;Full-time;development
Web Development Contractor;Endeavor Content LLC;"Beverly Hills, CA 90210
+1 location";Estimated $42.5K - $53.9K a year;Full-time;development
Web Development Contractor;Loudoun County Government;Leesburg, VA 20177;;Full-time;development
Web Development Contractor;The Coca-Cola Company;"Atlanta, GA 30313
(Downtown area)";;Full-time;development
Coordinator - Development (Freeform);Cultural Vistas;"Washington, DC 20005
(Logan Circle area)";Estimated $31.9K - $40.5K a year;"Full-time
+1";development
Coordinator - Development (Freeform);Freeform;Burbank, CA;;Full-time;development
Coordinator - Development (Freeform);Quorum;"+1 location
Remote";;Full-time;development
Coordinator - Development (Freeform);BASF Corporation;Geismar, LA 70734;;;development
Coordinator - Development (Freeform);VirginPulse;Remote;Estimated $92.7K - $117K a year;Full-time;development
